time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.000147786,34196100,12776565,9312321,9435183476
2.000408212,34115170,12853715,9288057,9489837509
3.000576966,34162728,12856547,9284886,9476212841
4.000742191,34142816,12863639,9255826,9488260451
5.000908692,34111642,12855314,9294510,9480901016
6.001104525,33989183,12821010,9251324,9469127861
7.001274488,34143290,12850485,9259093,9481846329
8.001443066,34108180,12826141,9251387,9466845711
9.001609531,34114122,12833586,9261697,9465723923
10.001774593,34169732,12854467,9273856,9481036952
11.002020258,34078756,12856948,9260863,9483457102
12.002178605,34055094,12840224,9255233,9475493699
13.002378952,34089887,12855647,9272720,9469708624
14.002543901,34149439,12893138,9329323,9505916874
15.002709447,33994107,12841342,9247056,9485800040
16.002887684,34077090,12858593,9259620,9478079052
17.003051883,34114447,12854203,9265503,9468554917
18.003215463,34046515,12831355,9253122,9473026419
19.003384441,34112739,12839997,9267590,9464625267
20.003553625,34007887,12850689,9242512,9469561570
21.003728003,34057403,12871135,9266325,9476365138
22.003914574,34098459,12821091,9262645,9474767867
22.728788961,24775959,9319746,6740890,6868639684
